Cordonnées 				Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU élargi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	Elévation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
100	450	0	0	13.19	58.03	50.10	14.13	14.09	3.48	29.13	14.81	1.77	8.38	0.83	0.010	4.89	1.12	0.23
100	500	0	0	9.34	40.96	35.36	9.98	9.95	2.47	20.61	10.40	1.23	8.47	0.83	0.007	4.95	0.79	0.16
100	550	0	0	5.89	25.87	22.31	6.35	6.33	1.58	13.02	6.52	0.77	8.50	0.83	0.004	4.91	0.49	0.10
100	600	0	0	3.63	15.92	13.73	3.92	3.91	0.98	8.02	3.99	0.46	8.61	0.83	0.003	4.96	0.30	0.06
100	650	0	0	2.29	10.00	8.61	2.48	2.47	0.62	5.05	2.48	0.28	8.77	0.83	0.002	4.99	0.19	0.04
100	700	0	0	1.47	6.41	5.51	1.61	1.60	0.40	3.23	1.57	0.17	9.02	0.83	0.001	5.04	0.12	0.02
100	750	0	0	1.16	5.06	4.36	1.28	1.27	0.32	2.56	1.23	0.13	9.18	0.83	0.001	5.08	0.09	0.02
100	800	0	0	0.79	3.42	2.94	0.87	0.86	0.22	1.73	0.83	0.09	9.65	0.83	0.001	5.16	0.06	0.01
150	800	0	0	0.75	3.23	2.78	0.82	0.82	0.21	1.64	0.78	0.08	9.78	0.83	0.001	5.20	0.06	0.01
150	750	0	0	1.01	4.40	3.78	1.11	1.11	0.28	2.22	1.07	0.11	9.39	0.83	0.001	5.10	0.08	0.02
150	700	0	0	1.56	6.83	5.87	1.71	1.71	0.43	3.44	1.67	0.19	8.98	0.83	0.001	5.05	0.13	0.02
150	650	0	0	3.06	13.42	11.57	3.32	3.31	0.83	6.77	3.35	0.39	8.69	0.83	0.002	4.96	0.25	0.05
150	600	0	0	5.37	23.53	20.29	5.79	5.78	1.45	11.84	5.91	0.69	8.58	0.83	0.004	4.95	0.44	0.09
150	550	0	0	9.61	42.20	36.42	10.32	10.29	2.58	21.21	10.70	1.26	8.48	0.83	0.007	4.92	0.81	0.16
150	500	0	0	16.36	71.92	62.10	17.50	17.45	4.33	36.04	18.43	2.22	8.29	0.83	0.013	4.87	1.40	0.29
150	450	0	0	24.52	107.75	93.09	25.99	25.92	6.41	54.09	27.74	3.35	8.29	0.83	0.019	4.86	2.10	0.43
150	400	0	0	30.96	136.02	117.53	32.81	32.71	8.05	68.22	35.09	4.26	8.24	0.83	0.024	4.85	2.66	0.55
150	350	0	0	32.04	140.68	121.56	33.91	33.80	8.28	70.58	36.30	4.43	8.19	0.83	0.025	4.84	2.75	0.57
150	300	0	0	27.41	120.45	104.09	29.05	28.96	7.06	60.48	31.02	3.75	8.27	0.83	0.021	4.86	2.35	0.48
150	250	0	0	19.52	85.70	74.07	20.59	20.53	4.99	43.11	22.06	2.66	8.30	0.83	0.015	4.86	1.67	0.34
150	200	0	0	11.14	48.91	42.26	11.78	11.75	2.85	24.64	12.52	1.50	8.34	0.83	0.009	4.86	0.95	0.19
150	150	0	0	5.87	25.77	22.24	6.27	6.25	1.52	13.01	6.51	0.77	8.50	0.83	0.004	4.95	0.49	0.10
150	100	0	0	3.22	14.09	12.15	3.46	3.45	0.84	7.12	3.52	0.41	8.58	0.83	0.002	4.94	0.27	0.05
150	50	0	0	1.86	8.16	7.03	2.03	2.02	0.49	4.12	2.02	0.23	8.77	0.83	0.001	4.96	0.15	0.03
150	0	0	0	1.42	6.19	5.33	1.54	1.54	0.38	3.13	1.52	0.17	8.94	0.83	0.001	5.02	0.11	0.02
200	0	0	0	1.28	5.57	4.79	1.39	1.39	0.34	2.82	1.36	0.15	9.04	0.83	0.001	5.07	0.10	0.02
200	50	0	0	1.84	8.04	6.92	2.00	1.99	0.49	4.06	1.98	0.22	8.82	0.83	0.001	4.99	0.15	0.03
200	100	0	0	4.18	18.29	15.78	4.49	4.47	1.09	9.24	4.58	0.53	8.63	0.83	0.003	4.97	0.34	0.07
200	150	0	0	8.55	37.54	32.42	9.06	9.04	2.20	18.95	9.55	1.13	8.44	0.83	0.007	4.90	0.72	0.15
200	200	0	0	17.27	75.90	65.62	18.14	18.09	4.40	38.26	19.55	2.36	8.28	0.83	0.013	4.85	1.48	0.31
200	250	0	0	29.97	131.87	114.00	31.53	31.43	7.67	66.34	34.10	4.15	8.21	0.83	0.023	4.83	2.59	0.54
200	300	0	0	41.30	181.36	156.85	42.97	42.84	10.54	91.52	47.01	5.70	8.25	0.83	0.032	4.83	3.56	0.74
200	350	0	0	47.82	210.28	181.89	49.70	49.55	12.24	106.09	54.64	6.67	8.20	0.83	0.037	4.82	4.14	0.86
200	400	0	0	46.88	205.97	178.09	49.01	48.86	12.09	103.75	53.36	6.47	8.24	0.83	0.036	4.86	4.05	0.83
200	450	0	0	38.17	167.34	144.62	40.15	40.03	9.95	84.13	43.18	5.24	8.25	0.83	0.029	4.85	3.27	0.67
200	500	0	0	25.19	110.59	95.53	26.75	26.66	6.65	55.48	28.44	3.45	8.25	0.83	0.019	4.85	2.15	0.44
200	550	0	0	14.16	62.15	53.66	15.13	15.08	3.78	31.16	15.90	1.92	8.28	0.83	0.011	4.87	1.20	0.25
200	600	0	0	7.40	32.49	28.03	7.99	7.96	2.00	16.31	8.22	0.98	8.42	0.83	0.006	4.91	0.62	0.13
200	650	0	0	3.86	16.92	14.58	4.20	4.18	1.05	8.50	4.23	0.50	8.54	0.83	0.003	4.93	0.32	0.06
200	700	0	0	2.19	9.59	8.26	2.39	2.39	0.60	4.84	2.37	0.27	8.76	0.83	0.002	4.97	0.18	0.04
200	750	0	0	1.32	5.77	4.97	1.46	1.46	0.37	2.91	1.41	0.16	9.04	0.83	0.001	5.03	0.11	0.02
200	800	0	0	1.02	4.47	3.84	1.13	1.13	0.28	2.25	1.08	0.12	9.32	0.83	0.001	5.11	0.08	0.02
250	800	0	0	0.90	3.91	3.36	0.99	0.99	0.25	1.97	0.94	0.10	9.47	0.83	0.001	5.16	0.07	0.01
250	750	0	0	1.21	5.29	4.55	1.34	1.34	0.34	2.67	1.28	0.14	9.18	0.83	0.001	5.08	0.10	0.02
250	700	0	0	1.98	8.66	7.46	2.17	2.16	0.54	4.36	2.14	0.24	8.82	0.83	0.001	5.00	0.16	0.03
250	650	0	0	4.50	19.71	17.00	4.86	4.85	1.22	9.93	4.94	0.58	8.53	0.83	0.003	4.94	0.37	0.08
250	600	0	0	8.93	39.32	33.93	9.60	9.57	2.41	19.78	9.98	1.18	8.47	0.83	0.007	4.94	0.75	0.15
250	550	0	0	17.94	78.84	68.10	19.05	19.00	4.77	39.61	20.23	2.43	8.32	0.83	0.014	4.87	1.53	0.31
250	500	0	0	31.65	139.26	120.32	33.48	33.38	8.34	69.93	35.94	4.35	8.25	0.83	0.024	4.84	2.72	0.56
250	450	0	0	46.92	206.25	178.34	48.95	48.81	12.14	103.98	53.47	6.48	8.26	0.83	0.036	4.85	4.05	0.84
250	400	0	0	56.18	247.37	214.08	57.74	57.57	14.30	125.24	64.57	7.85	8.23	0.83	0.044	4.83	4.90	1.01
250	350	0	0	56.82	250.25	216.67	57.89	57.72	14.34	126.97	65.57	8.02	8.17	0.83	0.044	4.81	4.98	1.03
250	300	0	0	50.25	221.18	191.42	51.64	51.48	12.73	112.00	57.70	7.03	8.20	0.83	0.039	4.82	4.38	0.91
