Cordonnées 				Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU élargi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	Elévation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
225	193	0	90	38.75	148.27	125.44	67.69	62.83	13.34	44.98	40.46	2.61	15.48	0.83	0.028	10.37	3.22	0.31
225	203	0	90	35.51	146.08	122.99	66.65	62.89	13.36	45.05	38.14	2.55	14.97	0.83	0.028	11.52	3.24	0.28
225	213	0	90	38.27	146.51	123.35	67.55	63.20	13.39	45.27	38.03	2.73	13.93	0.83	0.028	10.55	3.36	0.32
225	223	0	90	37.90	147.91	124.53	67.99	63.61	13.48	45.70	38.60	2.61	14.80	0.83	0.028	11.58	3.34	0.29
225	233	0	90	37.75	149.21	125.71	68.59	64.20	13.60	46.09	38.92	2.62	14.84	0.83	0.028	10.68	3.32	0.31
225	243	0	90	36.24	148.79	125.22	69.21	64.51	13.64	46.41	37.86	2.52	15.03	0.83	0.028	11.11	3.30	0.30
225	253	0	90	38.37	150.18	126.57	70.10	64.98	13.73	47.04	38.16	2.78	13.71	0.83	0.028	9.96	3.44	0.34
225	263	0	90	38.79	152.54	128.73	70.03	65.15	13.74	47.31	40.08	2.75	14.56	0.83	0.029	11.98	3.67	0.31
225	273	0	90	42.66	153.28	129.36	69.34	64.92	13.69	47.36	41.00	3.00	13.67	0.83	0.029	11.07	3.69	0.33
225	283	0	90	38.14	153.27	129.16	68.15	64.47	13.58	47.35	41.45	2.66	15.57	0.83	0.029	11.91	3.65	0.31
225	293	0	90	42.65	152.80	128.69	68.64	64.65	13.64	47.35	40.80	2.82	14.49	0.83	0.029	11.56	3.64	0.31
