Cordonnées 				Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU élargi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	Elévation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
280	460	0	90	37.10	130.67	110.39	61.44	56.91	12.07	39.21	34.56	2.51	13.79	0.83	0.026	12.52	3.13	0.25
280	480	0	90	31.43	128.59	108.15	60.24	56.04	11.92	38.36	34.19	2.14	15.97	0.83	0.024	11.49	3.20	0.28
280	500	0	90	31.31	125.25	105.46	57.62	53.99	11.49	37.06	34.21	2.16	15.81	0.83	0.024	14.28	3.25	0.23
280	520	0	90	31.41	118.93	100.17	54.58	51.21	10.94	35.23	32.49	1.93	16.86	0.83	0.023	13.34	2.99	0.22
280	540	0	90	28.00	109.73	91.88	50.30	48.11	10.33	32.79	28.83	1.63	17.69	0.83	0.021	14.42	2.71	0.19
280	560	0	90	23.74	100.64	84.58	47.24	44.20	9.51	30.10	26.33	1.69	15.57	0.83	0.019	12.33	2.52	0.20
280	580	0	90	24.95	90.83	76.62	42.22	39.32	8.45	27.04	24.47	1.62	15.10	0.83	0.018	12.04	2.21	0.18
280	600	0	90	21.10	77.78	65.14	35.66	34.09	7.34	23.78	19.91	1.30	15.27	0.83	0.014	11.80	1.75	0.15
280	620	0	90	17.55	64.99	54.50	30.19	28.66	6.21	20.44	15.89	1.18	13.42	0.82	0.012	10.19	1.34	0.13
280	640	0	90	16.47	54.59	46.08	25.91	23.87	5.18	17.29	13.44	1.10	12.20	0.82	0.010	8.41	1.06	0.13
280	660	0	90	11.76	44.02	36.99	20.92	19.43	4.23	14.27	10.32	0.81	12.78	0.82	0.008	8.57	0.79	0.09
280	680	0	90	8.63	34.48	28.70	16.65	15.76	3.44	11.68	7.04	0.66	10.71	0.81	0.006	7.08	0.55	0.08
280	700	0	90	8.55	27.45	23.08	13.62	12.38	2.70	9.43	5.65	0.59	9.59	0.81	0.005	6.69	0.44	0.07
300	700	0	90	8.86	26.59	22.21	12.84	12.05	2.63	9.10	5.44	0.50	10.83	0.81	0.005	7.16	0.42	0.06
300	680	0	90	9.38	33.31	27.81	16.32	15.27	3.33	11.21	6.83	0.66	10.35	0.81	0.006	7.30	0.54	0.07
300	660	0	90	12.07	42.53	35.83	20.53	18.76	4.08	13.70	10.06	0.84	12.01	0.82	0.008	8.28	0.78	0.09
300	640	0	90	13.02	53.36	44.80	24.52	23.13	5.02	16.62	13.61	0.90	15.04	0.83	0.010	10.54	1.11	0.11
300	620	0	90	18.46	64.73	54.68	30.91	28.35	6.13	19.85	16.53	1.30	12.74	0.82	0.013	10.84	1.46	0.13
300	600	0	90	21.13	77.04	64.71	35.35	33.59	7.26	23.01	20.43	1.34	15.20	0.83	0.014	11.45	1.81	0.16
300	580	0	90	25.71	89.40	75.58	41.36	38.29	8.24	26.03	25.09	1.58	15.84	0.83	0.018	12.57	2.41	0.19
300	560	0	90	26.01	98.08	82.49	45.11	42.57	9.14	28.80	26.72	1.64	16.27	0.83	0.019	14.90	2.70	0.18
300	540	0	90	32.98	105.82	89.17	50.97	46.72	10.03	31.50	27.60	1.85	14.89	0.82	0.021	12.31	2.74	0.22
300	520	0	90	31.38	114.86	96.61	52.84	49.94	10.68	33.81	31.12	1.90	16.37	0.83	0.022	13.92	3.04	0.22
300	500	0	90	31.75	121.49	102.04	54.87	52.56	11.21	35.57	33.37	1.93	17.32	0.83	0.023	15.57	3.35	0.22
300	480	0	90	33.01	125.40	105.63	57.99	54.20	11.53	36.69	34.50	2.07	16.68	0.83	0.024	16.96	3.43	0.20
300	460	0	90	34.39	126.24	106.32	59.16	55.11	11.70	37.48	33.65	2.24	14.99	0.83	0.025	11.47	3.27	0.28
300	440	0	90	35.35	129.38	109.22	59.95	55.84	11.83	38.17	35.38	2.26	15.65	0.83	0.025	13.01	3.44	0.26
300	420	0	90	37.07	130.20	109.92	60.61	56.21	11.87	38.73	35.25	2.43	14.51	0.83	0.026	11.67	3.28	0.28
300	400	0	90	32.29	128.91	108.04	59.21	56.32	11.89	39.02	33.57	2.05	16.34	0.83	0.024	12.75	3.04	0.24
300	380	0	90	35.19	130.12	109.71	61.11	56.68	11.95	39.47	33.97	2.27	14.95	0.83	0.025	11.68	3.11	0.27
300	360	0	90	31.80	131.67	110.50	59.81	56.98	12.01	39.89	34.79	2.19	15.90	0.83	0.025	11.09	3.15	0.28
300	340	0	90	35.70	134.42	113.42	61.52	57.77	12.16	40.29	36.35	2.61	13.92	0.83	0.027	11.78	3.34	0.28
300	320	0	90	39.37	134.27	113.17	62.24	58.06	12.21	40.49	35.71	2.53	14.13	0.83	0.026	12.81	3.32	0.26
300	300	0	90	32.66	135.23	113.60	60.54	57.78	12.14	40.56	36.90	2.43	15.15	0.83	0.026	12.44	3.59	0.29
300	280	0	90	30.82	133.95	112.57	60.35	57.23	12.01	40.27	36.45	2.19	16.62	0.83	0.025	13.97	3.71	0.27
300	260	0	90	33.24	132.28	111.37	61.07	57.00	11.98	39.92	35.37	2.26	15.65	0.83	0.026	13.05	3.64	0.28
300	240	0	90	36.32	128.76	108.16	60.05	56.45	11.88	39.38	32.93	2.28	14.42	0.83	0.025	12.06	3.26	0.27
300	220	0	90	34.97	129.68	108.77	58.62	55.78	11.74	39.00	34.90	2.15	16.20	0.83	0.024	13.23	3.23	0.24
300	200	0	90	31.51	129.32	108.84	59.53	55.86	11.76	38.90	34.57	2.13	16.24	0.83	0.025	12.07	3.16	0.26
300	180	0	90	37.23	129.17	109.16	61.33	56.29	11.87	39.12	33.76	2.33	14.48	0.83	0.025	10.69	2.81	0.26
300	160	0	90	29.30	130.75	109.77	59.52	56.72	12.03	39.06	34.97	2.17	16.09	0.83	0.024	10.38	2.61	0.25
