Cordonnées 				Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU élargi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	Elévation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
275	253	0	90	33.31	139.73	117.35	64.44	60.80	12.89	42.61	36.33	2.10	17.26	0.83	0.026	12.95	3.36	0.26
275	243	0	90	35.40	139.18	116.97	64.29	60.56	12.83	42.43	36.19	2.30	15.76	0.83	0.026	11.64	3.31	0.28
275	233	0	90	36.35	139.92	117.69	63.85	60.28	12.77	42.29	37.35	2.41	15.48	0.83	0.027	11.69	3.35	0.29
275	223	0	90	34.69	140.36	118.17	63.94	60.16	12.77	42.09	38.11	2.25	16.94	0.83	0.026	12.84	3.39	0.26
275	213	0	90	37.65	141.10	118.68	63.05	60.21	12.78	42.07	38.82	2.28	17.06	0.83	0.027	12.12	3.44	0.28
275	203	0	90	38.21	140.09	118.20	63.59	59.97	12.74	42.09	38.03	2.20	17.28	0.83	0.027	11.69	3.29	0.28
275	193	0	90	36.30	139.92	117.91	63.81	60.14	12.77	42.12	37.66	2.42	15.58	0.83	0.026	11.58	3.10	0.27
275	183	0	90	39.02	139.22	117.56	64.78	60.21	12.80	42.10	36.91	2.48	14.87	0.83	0.027	10.91	2.97	0.27
275	173	0	90	42.74	139.70	118.09	65.56	60.55	12.87	42.27	36.87	2.52	14.63	0.83	0.027	10.73	2.84	0.26
275	163	0	90	32.43	138.52	116.44	64.09	60.42	12.87	41.96	36.14	2.15	16.78	0.83	0.025	8.98	2.62	0.29
275	153	0	90	39.56	139.81	117.99	65.31	60.66	12.93	42.03	37.12	2.45	15.15	0.83	0.027	10.88	2.64	0.24
