Cordonnées 				Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU élargi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	Elévation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
54	149	0	90	45.84	177.90	151.08	76.90	72.38	17.19	56.96	48.56	2.98	16.32	0.83	0.033	7.44	2.53	0.34
54	159	0	90	47.95	175.74	149.02	77.87	73.23	17.39	57.17	45.34	3.33	13.62	0.82	0.033	7.27	2.58	0.36
54	169	0	90	46.85	176.55	149.44	78.81	73.75	17.48	57.37	45.44	3.25	13.98	0.82	0.033	7.59	2.74	0.36
54	179	0	90	39.32	177.63	150.23	78.42	73.66	17.44	57.28	46.70	2.93	15.92	0.83	0.032	8.74	2.92	0.33
54	189	0	90	43.94	178.93	151.50	77.86	73.48	17.37	57.18	48.27	2.83	17.06	0.83	0.032	9.67	3.13	0.32
54	199	0	90	44.85	179.45	152.42	79.85	73.68	17.39	57.21	48.56	2.94	16.52	0.83	0.034	9.84	3.38	0.34
54	209	0	90	46.43	180.78	153.62	79.62	73.89	17.38	57.45	49.45	3.20	15.47	0.83	0.034	9.69	3.58	0.37
54	219	0	90	44.11	182.23	154.35	79.21	74.59	17.52	58.23	49.40	3.06	16.14	0.83	0.034	10.08	3.67	0.36
54	229	0	90	44.29	181.57	153.67	79.76	74.80	17.52	58.79	47.98	3.01	15.96	0.83	0.034	10.15	3.65	0.36
54	239	0	90	51.21	184.79	156.69	80.65	75.41	17.62	59.58	49.80	3.37	14.78	0.83	0.035	10.77	4.03	0.37
54	249	0	90	50.46	193.22	164.67	82.23	76.65	17.92	60.90	55.67	3.29	16.89	0.83	0.038	11.06	4.41	0.40
54	259	0	90	49.18	195.02	165.85	83.68	77.82	18.16	61.63	55.57	3.32	16.74	0.84	0.038	13.06	4.49	0.34
54	269	0	90	50.17	197.80	168.27	85.11	79.12	18.46	62.54	56.15	3.40	16.52	0.83	0.039	12.52	4.69	0.37
54	279	0	90	47.69	201.82	171.10	85.83	81.07	18.96	63.49	57.25	3.21	17.82	0.84	0.038	13.41	4.88	0.36
