Cordonn?s 	Cordonn?s 	Cordonn?s 	Cordonn?s 	Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU ?argi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	El?ation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
100	500	0	0	2.94	12.85	11	3.56	3.55	0.95	6.22	3.09	0.35	8.87	0.83	0.002	5.09	0.23	0.05
100	550	0	0	2.79	12.16	10.42	3.34	3.33	0.89	5.91	2.93	0.33	8.91	0.83	0.002	5.1	0.22	0.04
100	600	0	0	2.62	11.48	9.83	3.12	3.11	0.83	5.59	2.77	0.31	8.99	0.83	0.002	5.11	0.21	0.04
100	650	0	0	2.48	10.8	9.26	2.91	2.9	0.77	5.28	2.62	0.29	8.97	0.83	0.002	5.11	0.2	0.04
100	700	0	0	2.33	10.17	8.72	2.71	2.7	0.72	4.99	2.48	0.28	8.95	0.83	0.002	5.09	0.19	0.04
100	750	0	0	2.19	9.54	8.19	2.51	2.51	0.66	4.7	2.33	0.26	9.09	0.83	0.002	5.16	0.18	0.03
100	800	0	0	2.04	8.91	7.65	2.32	2.31	0.61	4.41	2.19	0.24	9.07	0.83	0.001	5.11	0.16	0.03
100	850	0	0	1.88	8.26	7.09	2.13	2.12	0.56	4.1	2.04	0.22	9.08	0.83	0.001	5.13	0.15	0.03
150	50	0	0	4.08	17.66	15.06	5.19	5.18	1.41	8.35	4.13	0.47	8.85	0.83	0.003	5.07	0.31	0.06
150	100	0	0	4.03	17.54	14.96	5.15	5.14	1.39	8.3	4.11	0.46	8.86	0.83	0.003	5.08	0.31	0.06
150	150	0	0	3.98	17.31	14.77	5.08	5.06	1.37	8.19	4.06	0.46	8.81	0.83	0.003	5.04	0.3	0.06
150	200	0	0	3.9	16.96	14.47	4.96	4.95	1.34	8.04	3.98	0.44	8.94	0.83	0.003	5.09	0.3	0.06
150	250	0	0	3.79	16.52	14.1	4.81	4.8	1.3	7.84	3.88	0.44	8.9	0.83	0.003	5.07	0.29	0.06
150	300	0	0	3.68	15.98	13.64	4.63	4.62	1.25	7.6	3.76	0.42	8.92	0.83	0.003	5.06	0.28	0.06
150	350	0	0	3.51	15.31	13.07	4.42	4.4	1.19	7.28	3.62	0.41	8.85	0.83	0.003	5.07	0.27	0.05
150	400	0	0	3.37	14.65	12.52	4.2	4.19	1.13	6.99	3.47	0.39	8.81	0.83	0.002	5.07	0.26	0.05
150	450	0	0	3.21	13.95	11.92	3.97	3.96	1.07	6.68	3.32	0.38	8.83	0.83	0.002	5.07	0.25	0.05
150	500	0	0	3.04	13.23	11.31	3.73	3.72	1	6.35	3.15	0.35	8.91	0.83	0.002	5.08	0.24	0.05
150	550	0	0	2.87	12.5	10.69	3.49	3.49	0.93	6.02	2.99	0.33	8.94	0.83	0.002	5.1	0.22	0.04
150	600	0	0	2.69	11.76	10.06	3.26	3.25	0.87	5.69	2.82	0.31	8.95	0.83	0.002	5.11	0.21	0.04
150	650	0	0	2.53	11.03	9.45	3.02	3.02	0.81	5.36	2.66	0.3	9.01	0.83	0.002	5.12	0.2	0.04
150	700	0	0	2.36	10.34	8.85	2.8	2.8	0.74	5.04	2.5	0.28	9.03	0.83	0.002	5.12	0.19	0.04
150	750	0	0	2.21	9.66	8.28	2.59	2.58	0.69	4.73	2.34	0.26	9.07	0.83	0.002	5.14	0.18	0.03
150	800	0	0	2.06	9.01	7.73	2.39	2.38	0.63	4.43	2.2	0.24	9.07	0.83	0.001	5.15	0.16	0.03
150	850	0	0	1.9	8.32	7.14	2.17	2.16	0.57	4.11	2.04	0.23	9.06	0.83	0.001	5.12	0.15	0.03
200	50	0	0	4.24	18.42	15.69	5.51	5.5	1.5	8.64	4.28	0.49	8.81	0.83	0.003	5.03	0.32	0.06
200	100	0	0	4.22	18.3	15.59	5.47	5.46	1.49	8.58	4.25	0.48	8.8	0.83	0.003	5.06	0.32	0.06
200	150	0	0	4.16	18.05	15.38	5.39	5.38	1.46	8.47	4.2	0.48	8.78	0.83	0.003	5.04	0.32	0.06
200	200	0	0	4.07	17.68	15.07	5.27	5.25	1.43	8.31	4.12	0.47	8.83	0.83	0.003	5.03	0.31	0.06
200	250	0	0	3.97	17.22	14.68	5.11	5.09	1.39	8.11	4.02	0.46	8.76	0.83	0.003	5.05	0.3	0.06
200	300	0	0	3.83	16.64	14.19	4.91	4.9	1.33	7.85	3.89	0.44	8.83	0.83	0.003	5.04	0.29	0.06
200	350	0	0	3.67	15.97	13.62	4.69	4.68	1.27	7.56	3.74	0.42	8.91	0.83	0.003	5.1	0.28	0.06
200	400	0	0	3.5	15.25	13.01	4.45	4.44	1.2	7.23	3.58	0.4	8.94	0.83	0.003	5.12	0.27	0.05
200	450	0	0	3.31	14.41	12.3	4.17	4.16	1.12	6.85	3.4	0.38	8.85	0.83	0.002	5.07	0.26	0.05
200	500	0	0	3.12	13.61	11.62	3.91	3.9	1.05	6.49	3.22	0.36	8.9	0.83	0.002	5.08	0.24	0.05
200	550	0	0	2.93	12.79	10.93	3.64	3.63	0.98	6.12	3.04	0.34	8.88	0.83	0.002	5.08	0.23	0.04
200	600	0	0	2.76	11.99	10.25	3.38	3.37	0.9	5.76	2.86	0.32	8.87	0.83	0.002	5.06	0.21	0.04
200	650	0	0	2.57	11.2	9.58	3.12	3.12	0.83	5.4	2.68	0.3	8.95	0.83	0.002	5.08	0.2	0.04
200	700	0	0	2.39	10.42	8.92	2.88	2.87	0.77	5.05	2.5	0.28	8.98	0.83	0.002	5.09	0.19	0.04
200	750	0	0	2.22	9.69	8.3	2.65	2.64	0.7	4.71	2.33	0.26	9.05	0.83	0.002	5.16	0.18	0.03
200	800	0	0	2.07	9.01	7.72	2.43	2.43	0.64	4.4	2.18	0.24	9	0.83	0.001	5.12	0.16	0.03
200	850	0	0	1.92	8.36	7.17	2.23	2.22	0.59	4.1	2.03	0.22	9.06	0.83	0.001	5.09	0.15	0.03
250	50	0	0	4.46	19.36	16.48	5.9	5.88	1.61	9.01	4.47	0.51	8.73	0.83	0.003	5.01	0.34	0.07
250	100	0	0	4.43	19.24	16.37	5.85	5.84	1.6	8.96	4.44	0.5	8.82	0.83	0.003	5.05	0.33	0.07
250	150	0	0	4.36	18.97	16.15	5.76	5.75	1.57	8.84	4.38	0.5	8.83	0.83	0.003	5.06	0.33	0.07
250	200	0	0	4.27	18.57	15.81	5.63	5.61	1.53	8.67	4.29	0.49	8.83	0.83	0.003	5.09	0.32	0.06
250	250	0	0	4.17	18.06	15.38	5.45	5.44	1.48	8.44	4.18	0.48	8.78	0.83	0.003	5.03	0.31	0.06
250	300	0	0	4.02	17.44	14.85	5.24	5.23	1.42	8.17	4.04	0.45	8.91	0.83	0.003	5.08	0.3	0.06
250	350	0	0	3.85	16.72	14.25	5	4.98	1.36	7.85	3.89	0.44	8.86	0.83	0.003	5.08	0.29	0.06
250	400	0	0	3.66	15.94	13.58	4.73	4.72	1.28	7.5	3.72	0.42	8.95	0.83	0.003	5.09	0.28	0.05
250	450	0	0	3.49	15.11	12.89	4.45	4.44	1.2	7.14	3.53	0.4	8.88	0.83	0.002	5.07	0.27	0.05
250	500	0	0	3.26	14.18	12.1	4.14	4.13	1.12	6.71	3.33	0.38	8.84	0.83	0.002	5.06	0.25	0.05
250	550	0	0	3.05	13.3	11.35	3.85	3.84	1.04	6.32	3.14	0.35	8.91	0.83	0.002	5.08	0.24	0.05
250	600	0	0	2.86	12.43	10.62	3.57	3.56	0.96	5.93	2.94	0.33	8.91	0.83	0.002	5.09	0.22	0.04
250	650	0	0	2.66	11.58	9.89	3.29	3.28	0.88	5.55	2.75	0.31	8.97	0.83	0.002	5.09	0.21	0.04
250	700	0	0	2.47	10.75	9.19	3.02	3.01	0.81	5.18	2.56	0.29	8.99	0.83	0.002	5.09	0.19	0.04
250	750	0	0	2.29	9.95	8.52	2.77	2.76	0.74	4.81	2.38	0.27	8.98	0.83	0.002	5.1	0.18	0.04
250	800	0	0	2.11	9.2	7.87	2.53	2.52	0.67	4.47	2.21	0.25	9.02	0.83	0.002	5.12	0.17	0.03
250	850	0	0	1.95	8.5	7.28	2.31	2.3	0.61	4.14	2.05	0.23	9.08	0.83	0.001	5.11	0.15	0.03
300	50	0	0	4.75	20.6	17.52	6.36	6.35	1.74	9.53	4.73	0.54	8.75	0.83	0.003	5.04	0.36	0.07
300	100	0	0	4.75	20.48	17.42	6.32	6.31	1.73	9.47	4.7	0.54	8.67	0.83	0.003	5.08	0.35	0.07
300	150	0	0	4.66	20.22	17.2	6.23	6.22	1.7	9.36	4.64	0.53	8.74	0.83	0.003	5.03	0.35	0.07
300	200	0	0	4.56	19.8	16.84	6.09	6.07	1.66	9.18	4.55	0.52	8.82	0.83	0.003	5.05	0.34	0.07
300	250	0	0	4.43	19.24	16.37	5.89	5.88	1.61	8.93	4.43	0.5	8.8	0.83	0.003	5.06	0.33	0.07
300	300	0	0	4.29	18.57	15.81	5.66	5.65	1.54	8.64	4.28	0.49	8.81	0.83	0.003	5.06	0.32	0.06
300	350	0	0	4.12	17.79	15.15	5.39	5.38	1.47	8.3	4.11	0.46	8.88	0.83	0.003	5.04	0.31	0.06
300	400	0	0	3.91	16.95	14.44	5.1	5.09	1.39	7.93	3.93	0.45	8.8	0.83	0.003	5.03	0.3	0.06
300	450	0	0	3.7	16.06	13.68	4.8	4.79	1.3	7.53	3.73	0.42	8.81	0.83	0.003	5.08	0.28	0.06
