Cordonn?s 	Cordonn?s 	Cordonn?s 	Cordonn?s 	Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU ?argi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	El?ation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
500	750	0	0	2.97	12.92	11.03	3.77	3.76	1.01	6.12	3.04	0.34	8.85	0.83	0.002	5.06	0.23	0.05
500	800	0	0	2.75	11.95	10.21	3.45	3.44	0.92	5.69	2.83	0.32	8.89	0.83	0.002	5.08	0.21	0.04
500	850	0	0	2.53	11.04	9.43	3.14	3.14	0.84	5.28	2.62	0.29	8.95	0.83	0.002	5.08	0.2	0.04
550	50	0	0	5.65	24.47	20.76	7.84	7.82	2.15	11.12	5.53	0.64	8.65	0.83	0.004	4.98	0.42	0.08
550	100	0	0	5.63	24.32	20.64	7.79	7.77	2.13	11.06	5.49	0.63	8.69	0.83	0.004	5	0.41	0.08
550	150	0	0	5.54	23.99	20.36	7.67	7.65	2.1	10.92	5.42	0.62	8.7	0.83	0.004	5.03	0.41	0.08
550	200	0	0	5.43	23.51	19.95	7.49	7.47	2.05	10.71	5.32	0.61	8.7	0.83	0.004	5.02	0.4	0.08
550	250	0	0	5.29	22.9	19.44	7.27	7.25	1.99	10.45	5.19	0.6	8.66	0.83	0.004	4.98	0.39	0.08
550	300	0	0	5.13	22.16	18.81	7	6.98	1.91	10.14	5.04	0.58	8.69	0.83	0.004	5.03	0.38	0.08
550	350	0	0	4.9	21.27	18.07	6.68	6.66	1.82	9.76	4.85	0.55	8.75	0.83	0.003	5.05	0.36	0.07
550	400	0	0	4.69	20.32	17.27	6.34	6.32	1.73	9.35	4.64	0.53	8.81	0.83	0.003	5.05	0.35	0.07
550	450	0	0	4.46	19.31	16.42	5.98	5.96	1.63	8.92	4.42	0.5	8.77	0.83	0.003	5.02	0.33	0.07
550	500	0	0	4.22	18.25	15.53	5.6	5.59	1.52	8.46	4.2	0.48	8.76	0.83	0.003	5.06	0.32	0.06
550	550	0	0	3.95	17.16	14.6	5.22	5.21	1.42	7.99	3.96	0.45	8.83	0.83	0.003	5.09	0.3	0.06
550	600	0	0	3.71	16.06	13.68	4.84	4.83	1.31	7.51	3.72	0.42	8.82	0.83	0.003	5.05	0.28	0.06
550	650	0	0	3.46	14.98	12.76	4.47	4.46	1.21	7.03	3.49	0.39	8.83	0.83	0.002	5.11	0.26	0.05
550	700	0	0	3.19	13.87	11.83	4.09	4.08	1.1	6.53	3.25	0.37	8.82	0.83	0.002	5.05	0.24	0.05
550	750	0	0	2.96	12.87	10.98	3.76	3.75	1.01	6.09	3.03	0.34	8.81	0.83	0.002	5.05	0.23	0.05
550	800	0	0	2.74	11.91	10.17	3.44	3.43	0.92	5.66	2.82	0.32	8.86	0.83	0.002	5.06	0.21	0.04
550	850	0	0	2.54	11.01	9.41	3.14	3.14	0.84	5.26	2.61	0.29	8.86	0.83	0.002	5.07	0.2	0.04
600	50	0	0	5.59	23.95	20.32	7.68	7.66	2.09	10.88	5.41	0.65	8.33	0.82	0.004	4.83	0.41	0.08
600	100	0	0	5.42	23.77	20.15	7.62	7.6	2.08	10.81	5.35	0.56	9.47	0.83	0.004	5.05	0.4	0.08
600	150	0	0	5.46	23.57	20	7.55	7.52	2.05	10.72	5.33	0.62	8.56	0.83	0.004	5.02	0.4	0.08
600	200	0	0	5.3	23.09	19.59	7.37	7.36	2.01	10.52	5.22	0.6	8.7	0.83	0.004	5.16	0.39	0.08
600	250	0	0	5.24	22.57	19.16	7.18	7.16	1.95	10.29	5.13	0.6	8.52	0.83	0.004	5.17	0.39	0.08
600	300	0	0	5.07	21.84	18.55	6.92	6.9	1.88	9.98	4.96	0.58	8.53	0.83	0.004	4.97	0.37	0.07
600	350	0	0	4.95	21.01	17.85	6.62	6.6	1.79	9.62	4.79	0.57	8.38	0.83	0.003	5.12	0.36	0.07
600	400	0	0	4.66	20.12	17.1	6.29	6.28	1.7	9.24	4.6	0.57	8.09	0.83	0.003	4.81	0.35	0.07
600	450	0	0	4.37	19.08	16.22	5.92	5.91	1.6	8.79	4.38	0.5	8.75	0.83	0.003	4.96	0.33	0.07
600	500	0	0	4.17	18.05	15.35	5.55	5.54	1.5	8.35	4.16	0.49	8.5	0.83	0.003	5.1	0.31	0.06
600	550	0	0	3.94	16.88	14.37	5.16	5.15	1.39	7.85	3.89	0.43	8.96	0.83	0.003	5.13	0.29	0.06
600	600	0	0	3.58	15.85	13.49	4.79	4.78	1.29	7.4	3.67	0.41	8.95	0.83	0.003	5.01	0.27	0.05
600	650	0	0	3.39	14.72	12.55	4.41	4.4	1.18	6.89	3.43	0.41	8.47	0.83	0.002	4.81	0.26	0.05
600	700	0	0	3.21	13.71	11.69	4.07	4.05	1.09	6.44	3.21	0.38	8.42	0.83	0.002	4.99	0.24	0.05
600	750	0	0	2.98	12.7	10.83	3.73	3.72	0.99	6	2.98	0.34	8.74	0.83	0.002	5.01	0.22	0.04
600	800	0	0	2.67	11.76	10.03	3.41	3.4	0.91	5.58	2.77	0.32	8.66	0.83	0.002	5.05	0.21	0.04
600	850	0	0	2.47	10.86	9.28	3.12	3.11	0.83	5.18	2.57	0.29	9.03	0.83	0.002	5.21	0.19	0.04
650	50	0	0	5.28	23.2	19.68	7.42	7.4	2.02	10.56	5.24	0.6	8.76	0.83	0.004	4.99	0.39	0.08
650	100	0	0	5.49	23.1	19.6	7.38	7.36	2.01	10.51	5.23	0.62	8.43	0.83	0.004	4.93	0.39	0.08
650	150	0	0	5.4	22.85	19.39	7.29	7.27	1.98	10.4	5.18	0.63	8.26	0.82	0.004	4.8	0.39	0.08
650	200	0	0	5.17	22.41	19.02	7.13	7.12	1.94	10.22	5.08	0.61	8.37	0.83	0.004	4.81	0.38	0.08
650	250	0	0	5.16	21.84	18.55	6.93	6.91	1.88	9.97	4.96	0.6	8.32	0.83	0.004	4.99	0.38	0.08
650	300	0	0	4.8	21.15	17.96	6.68	6.66	1.81	9.67	4.81	0.59	8.18	0.83	0.003	4.74	0.36	0.08
650	350	0	0	4.65	20.28	17.22	6.37	6.36	1.73	9.31	4.62	0.5	9.25	0.83	0.003	5.44	0.34	0.06
650	400	0	0	4.53	19.41	16.49	6.06	6.04	1.64	8.93	4.44	0.52	8.54	0.83	0.003	4.83	0.33	0.07
650	450	0	0	4.26	18.45	15.68	5.71	5.7	1.54	8.51	4.24	0.47	9.02	0.83	0.003	5.41	0.32	0.06
650	500	0	0	4	17.42	14.82	5.35	5.34	1.44	8.07	4.01	0.48	8.39	0.83	0.003	4.91	0.3	0.06
650	550	0	0	3.72	16.42	13.98	5	4.99	1.34	7.63	3.81	0.47	8.04	0.83	0.003	4.94	0.29	0.06
650	600	0	0	3.6	15.34	13.07	4.63	4.61	1.24	7.16	3.56	0.45	7.91	0.83	0.003	5.05	0.27	0.05
650	650	0	0	3.3	14.22	12.11	4.25	4.24	1.14	6.66	3.32	0.39	8.6	0.83	0.002	5.01	0.25	0.05
650	700	0	0	2.99	13.19	11.24	3.9	3.9	1.04	6.21	3.08	0.33	9.33	0.83	0.002	5.17	0.23	0.04
650	750	0	0	2.83	12.26	10.46	3.59	3.58	0.96	5.8	2.88	0.32	9.13	0.83	0.002	5.27	0.22	0.04
650	800	0	0	2.6	11.32	9.67	3.28	3.27	0.87	5.39	2.67	0.3	8.89	0.83	0.002	5.07	0.2	0.04
650	850	0	0	2.36	10.48	8.95	3	2.99	0.8	5	2.48	0.29	8.66	0.83	0.002	4.81	0.19	0.04
700	50	0	0	5.12	22.28	18.91	7.08	7.06	1.92	10.16	5.06	0.6	8.39	0.83	0.004	4.84	0.38	0.08
700	100	0	0	4.99	22.09	18.75	7.02	7.01	1.91	10.09	5	0.53	9.36	0.83	0.004	5.31	0.37	0.07
700	150	0	0	5.11	21.88	18.57	6.95	6.93	1.88	9.99	4.96	0.58	8.51	0.83	0.004	4.94	0.37	0.08
700	200	0	0	5	21.46	18.22	6.8	6.78	1.84	9.81	4.88	0.56	8.69	0.83	0.004	5.23	0.36	0.07
700	250	0	0	4.93	20.92	17.77	6.6	6.59	1.79	9.57	4.77	0.56	8.46	0.83	0.003	4.94	0.36	0.07
700	300	0	0	4.61	20.17	17.13	6.34	6.33	1.72	9.27	4.58	0.5	9.2	0.83	0.003	4.73	0.34	0.07
700	350	0	0	4.37	19.35	16.43	6.04	6.03	1.64	8.91	4.4	0.44	10.03	0.83	0.003	5.51	0.33	0.06
700	400	0	0	4.43	18.56	15.78	5.76	5.75	1.56	8.57	4.25	0.47	8.96	0.83	0.003	5.39	0.32	0.06
700	450	0	0	4.11	17.67	15.03	5.45	5.43	1.47	8.17	4.06	0.49	8.31	0.83	0.003	4.8	0.31	0.06
700	500	0	0	3.85	16.63	14.15	5.08	5.07	1.37	7.73	3.82	0.41	9.31	0.83	0.003	5.35	0.29	0.05
700	550	0	0	3.49	15.67	13.34	4.74	4.73	1.28	7.31	3.63	0.41	8.92	0.83	0.003	5.41	0.28	0.05
700	600	0	0	3.32	14.59	12.43	4.38	4.37	1.17	6.83	3.4	0.39	8.68	0.83	0.002	4.82	0.25	0.05
700	650	0	0	3.13	13.59	11.58	4.04	4.03	1.08	6.39	3.17	0.34	9.19	0.83	0.002	5.17	0.24	0.05
700	700	0	0	3.02	12.67	10.81	3.73	3.72	0.99	5.98	2.97	0.34	8.62	0.83	0.002	4.86	0.22	0.05
700	750	0	0	2.67	11.77	10.04	3.43	3.42	0.91	5.57	2.77	0.31	8.83	0.83	0.002	4.97	0.21	0.04
700	800	0	0	2.51	10.89	9.3	3.14	3.13	0.83	5.19	2.58	0.31	8.4	0.83	0.002	4.8	0.19	0.04
700	850	0	0	2.27	10.05	8.59	2.86	2.85	0.76	4.81	2.39	0.27	8.72	0.83	0.002	4.99	0.18	0.04
750	50	0	0	5.01	21.27	18.07	6.71	6.69	1.82	9.75	4.83	0.55	8.82	0.83	0.003	5.15	0.36	0.07
750	100	0	0	4.97	21.18	17.99	6.68	6.66	1.81	9.7	4.83	0.57	8.48	0.83	0.003	5	0.36	0.07
750	150	0	0	4.81	20.92	17.77	6.59	6.58	1.78	9.59	4.76	0.54	8.79	0.83	0.003	4.86	0.36	0.07
750	200	0	0	4.74	20.49	17.41	6.44	6.42	1.74	9.41	4.67	0.53	8.81	0.83	0.003	5.01	0.35	0.07
750	250	0	0	4.69	19.97	16.96	6.25	6.23	1.69	9.18	4.56	0.51	8.9	0.83	0.003	5.19	0.34	0.07
750	300	0	0	4.41	19.3	16.4	6.02	6	1.63	8.89	4.41	0.48	9.18	0.83	0.003	5.08	0.33	0.06
750	350	0	0	4.32	18.55	15.77	5.75	5.74	1.55	8.57	4.25	0.49	8.7	0.83	0.003	4.94	0.32	0.06
750	400	0	0	4.02	17.69	15.04	5.44	5.43	1.47	8.2	4.05	0.45	8.99	0.83	0.003	4.88	0.3	0.06
750	450	0	0	3.96	16.83	14.32	5.15	5.13	1.38	7.82	3.88	0.44	8.87	0.83	0.003	5.04	0.29	0.06
750	500	0	0	3.68	15.87	13.51	4.81	4.8	1.29	7.4	3.66	0.39	9.39	0.83	0.003	5.45	0.27	0.05
750	550	0	0	3.47	14.97	12.75	4.5	4.49	1.21	7.01	3.47	0.4	8.63	0.83	0.002	5.42	0.26	0.05
750	600	0	0	3.13	13.94	11.88	4.15	4.14	1.11	6.55	3.25	0.36	8.9	0.83	0.002	4.94	0.24	0.05
750	650	0	0	3.05	13.01	11.1	3.84	3.83	1.02	6.14	3.05	0.34	9.02	0.83	0.002	5.19	0.23	0.04
750	700	0	0	2.79	12.12	10.34	3.54	3.53	0.94	5.74	2.85	0.32	9.02	0.83	0.002	5.24	0.21	0.04
750	750	0	0	2.6	11.24	9.6	3.24	3.24	0.86	5.35	2.66	0.3	8.86	0.83	0.002	5.18	0.2	0.04
750	800	0	0	2.4	10.41	8.89	2.97	2.96	0.78	4.97	2.47	0.29	8.66	0.83	0.002	5.07	0.19	0.04
750	850	0	0	2.29	9.65	8.25	2.72	2.71	0.72	4.63	2.31	0.28	8.28	0.83	0.002	4.92	0.17	0.04
800	50	0	0	4.71	20.4	17.34	6.36	6.35	1.72	9.39	4.66	0.55	8.54	0.83	0.003	4.98	0.35	0.07
800	100	0	0	4.66	20.32	17.27	6.34	6.32	1.71	9.35	4.65	0.55	8.46	0.83	0.003	4.87	0.35	0.07
800	150	0	0	4.67	20.04	17.03	6.25	6.23	1.68	9.23	4.58	0.52	8.77	0.83	0.003	5.29	0.34	0.06
800	200	0	0	4.45	19.66	16.71	6.11	6.1	1.65	9.06	4.5	0.52	8.64	0.83	0.003	5.1	0.34	0.07
800	250	0	0	4.47	19.2	16.33	5.94	5.93	1.6	8.85	4.42	0.54	8.15	0.83	0.003	4.74	0.34	0.07
800	300	0	0	4.23	18.5	15.73	5.7	5.69	1.54	8.57	4.24	0.47	9.09	0.83	0.003	5.4	0.32	0.06
800	350	0	0	4.1	17.81	15.15	5.46	5.44	1.47	8.26	4.11	0.48	8.55	0.83	0.003	5.09	0.31	0.06
800	400	0	0	3.92	17.03	14.5	5.19	5.17	1.39	7.93	3.93	0.46	8.47	0.83	0.003	4.86	0.29	0.06
800	450	0	0	3.68	16.19	13.78	4.89	4.88	1.31	7.57	3.74	0.41	9.13	0.83	0.003	4.76	0.28	0.06
800	500	0	0	3.58	15.34	13.07	4.6	4.59	1.23	7.19	3.56	0.42	8.45	0.83	0.003	4.96	0.27	0.05
800	550	0	0	3.35	14.39	12.27	4.28	4.27	1.14	6.76	3.37	0.39	8.55	0.83	0.002	4.86	0.25	0.05
800	600	0	0	3.07	13.46	11.48	3.97	3.96	1.06	6.35	3.16	0.36	8.84	0.83	0.002	5.1	0.24	0.05
800	650	0	0	2.86	12.57	10.72	3.66	3.65	0.97	5.95	2.96	0.34	8.7	0.83	0.002	5.04	0.22	0.04
800	700	0	0	2.69	11.68	9.97	3.37	3.36	0.89	5.56	2.76	0.32	8.71	0.83	0.002	5.06	0.21	0.04
800	750	0	0	2.56	10.86	9.28	3.1	3.09	0.82	5.18	2.59	0.32	8.2	0.83	0.002	4.91	0.2	0.04
800	800	0	0	2.32	10.02	8.57	2.83	2.82	0.75	4.81	2.39	0.27	8.94	0.83	0.002	5.01	0.18	0.04
800	850	0	0	2.11	9.29	7.95	2.59	2.59	0.68	4.48	2.22	0.24	9.21	0.83	0.002	5.29	0.17	0.03
850	50	0	0	4.54	19.62	16.69	6.04	6.02	1.63	9.09	4.51	0.53	8.52	0.83	0.003	4.95	0.34	0.07
850	100	0	0	4.56	19.55	16.63	6.01	5.99	1.62	9.05	4.51	0.54	8.34	0.83	0.003	5.1	0.34	0.07
850	150	0	0	4.42	19.24	16.36	5.91	5.9	1.6	8.93	4.41	0.48	9.13	0.83	0.003	4.99	0.33	0.07
850	200	0	0	4.38	18.89	16.07	5.79	5.78	1.56	8.77	4.34	0.47	9.23	0.83	0.003	5.15	0.33	0.06
850	250	0	0	4.3	18.45	15.7	5.63	5.62	1.51	8.57	4.27	0.49	8.62	0.83	0.003	5.2	0.32	0.06
850	300	0	0	4.09	17.86	15.21	5.43	5.42	1.46	8.32	4.13	0.48	8.57	0.83	0.003	4.89	0.31	0.06
850	350	0	0	3.93	17.15	14.6	5.19	5.18	1.39	8.01	3.97	0.46	8.68	0.83	0.003	4.93	0.3	0.06
850	400	0	0	3.81	16.34	13.91	4.91	4.9	1.32	7.66	3.79	0.41	9.26	0.83	0.003	5.3	0.28	0.05
850	450	0	0	3.77	15.63	13.32	4.67	4.65	1.25	7.33	3.65	0.44	8.26	0.83	0.003	5.06	0.28	0.05
850	500	0	0	3.33	14.65	12.49	4.34	4.33	1.16	6.9	3.43	0.37	9.14	0.83	0.002	5.23	0.26	0.05
850	550	0	0	3.19	13.83	11.8	4.06	4.05	1.08	6.53	3.25	0.38	8.55	0.83	0.002	5	0.25	0.05
850	600	0	0	2.99	12.95	11.05	3.77	3.76	1	6.14	3.05	0.34	9.07	0.83	0.002	5.08	0.23	0.05
850	650	0	0	2.82	12.13	10.36	3.5	3.49	0.93	5.77	2.87	0.33	8.65	0.83	0.002	4.99	0.22	0.04
850	700	0	0	2.56	11.29	9.65	3.22	3.21	0.85	5.4	2.68	0.3	8.99	0.83	0.002	4.78	0.2	0.04
850	750	0	0	2.37	10.55	9.02	2.97	2.96	0.78	5.06	2.52	0.29	8.71	0.83	0.002	5.12	0.19	0.04
850	800	0	0	2.22	9.8	8.38	2.73	2.72	0.72	4.73	2.35	0.27	8.83	0.83	0.002	5.07	0.18	0.03
850	850	0	0	2.11	9.14	7.82	2.52	2.51	0.66	4.43	2.2	0.25	8.95	0.83	0.002	4.96	0.17	0.03
900	50	0	0	4.18	18.72	15.94	5.69	5.68	1.53	8.72	4.33	0.47	9.3	0.83	0.003	5.36	0.32	0.06
900	100	0	0	4.3	18.63	15.85	5.65	5.64	1.52	8.68	4.3	0.47	9.13	0.83	0.003	5.26	0.32	0.06
900	150	0	0	4.16	18.45	15.71	5.59	5.57	1.5	8.6	4.28	0.51	8.36	0.83	0.003	4.94	0.32	0.07
900	200	0	0	4.37	18.12	15.43	5.48	5.46	1.47	8.45	4.21	0.5	8.41	0.83	0.003	5.16	0.32	0.06
900	250	0	0	4.13	17.65	15.03	5.32	5.3	1.42	8.25	4.1	0.48	8.6	0.83	0.003	5.23	0.31	0.06
900	300	0	0	4.01	17.13	14.6	5.14	5.13	1.37	8.02	3.99	0.48	8.34	0.83	0.003	4.98	0.3	0.06
900	350	0	0	3.76	16.42	13.99	4.89	4.88	1.31	7.72	3.82	0.42	9.08	0.83	0.003	5.09	0.29	0.06
900	400	0	0	3.58	15.71	13.39	4.66	4.65	1.25	7.4	3.66	0.41	8.83	0.83	0.003	4.81	0.28	0.06
900	450	0	0	3.43	14.94	12.74	4.4	4.38	1.17	7.04	3.51	0.42	8.44	0.83	0.002	4.82	0.27	0.06
900	500	0	0	3.19	14.15	12.08	4.13	4.12	1.1	6.7	3.34	0.39	8.57	0.83	0.002	4.94	0.25	0.05
900	550	0	0	3.11	13.37	11.41	3.87	3.86	1.02	6.34	3.17	0.37	8.46	0.83	0.002	4.9	0.24	0.05
900	600	0	0	2.86	12.53	10.71	3.59	3.59	0.95	5.98	2.97	0.33	9.06	0.83	0.002	5.17	0.22	0.04
900	650	0	0	2.67	11.77	10.05	3.34	3.33	0.88	5.63	2.8	0.31	8.96	0.83	0.002	5	0.21	0.04
900	700	0	0	2.56	11.02	9.42	3.1	3.09	0.82	5.3	2.63	0.29	8.94	0.83	0.002	5.24	0.2	0.04
900	750	0	0	2.36	10.31	8.82	2.86	2.86	0.75	4.98	2.47	0.27	9.16	0.83	0.002	5.36	0.19	0.03
900	800	0	0	2.23	9.67	8.28	2.65	2.65	0.69	4.69	2.33	0.25	9.28	0.83	0.002	5.28	0.17	0.03
900	850	0	0	2.11	9.1	7.8	2.46	2.46	0.64	4.44	2.21	0.25	8.82	0.83	0.002	5.19	0.17	0.03
950	50	0	0	4.08	17.86	15.21	5.33	5.32	1.43	8.38	4.16	0.46	8.98	0.83	0.003	5.28	0.31	0.06
950	100	0	0	4.07	17.76	15.13	5.31	5.29	1.42	8.34	4.13	0.47	8.8	0.83	0.003	5.36	0.31	0.06
950	150	0	0	4.17	17.53	14.93	5.23	5.22	1.4	8.23	4.08	0.44	9.34	0.83	0.003	5.05	0.31	0.06
950	200	0	0	3.89	17.24	14.7	5.13	5.12	1.37	8.1	4.02	0.48	8.45	0.83	0.003	5	0.3	0.06
950	250	0	0	3.84	16.83	14.34	5	4.98	1.33	7.92	3.93	0.46	8.48	0.83	0.003	4.73	0.3	0.06
950	300	0	0	3.73	16.3	13.9	4.81	4.8	1.28	7.69	3.81	0.44	8.66	0.83	0.003	4.81	0.29	0.06
950	350	0	0	3.69	15.72	13.4	4.62	4.61	1.23	7.43	3.68	0.41	9.02	0.83	0.003	5.06	0.28	0.05
950	400	0	0	3.44	14.99	12.79	4.38	4.37	1.16	7.1	3.53	0.4	8.9	0.83	0.002	4.95	0.27	0.05
950	450	0	0	3.25	14.31	12.21	4.14	4.13	1.1	6.8	3.38	0.39	8.77	0.83	0.002	5.01	0.25	0.05
950	500	0	0	3.07	13.6	11.61	3.91	3.9	1.03	6.48	3.22	0.37	8.76	0.83	0.002	5.17	0.24	0.05
950	550	0	0	2.91	12.83	10.96	3.65	3.65	0.97	6.14	3.04	0.32	9.52	0.83	0.002	5.36	0.23	0.04
950	600	0	0	2.78	12.14	10.38	3.42	3.41	0.9	5.83	2.9	0.33	8.89	0.83	0.002	5.12	0.22	0.04
950	650	0	0	2.62	11.42	9.76	3.19	3.18	0.84	5.5	2.73	0.29	9.27	0.83	0.002	5.17	0.21	0.04
950	700	0	0	2.49	10.78	9.23	2.98	2.97	0.78	5.22	2.59	0.3	8.67	0.83	0.002	5.09	0.19	0.04
950	750	0	0	2.32	10.16	8.7	2.77	2.76	0.72	4.94	2.46	0.28	8.73	0.83	0.002	4.98	0.18	0.04
950	800	0	0	2.22	9.58	8.21	2.57	2.57	0.67	4.69	2.33	0.27	8.61	0.83	0.002	4.98	0.18	0.04
950	850	0	0	2.08	8.97	7.7	2.37	2.36	0.62	4.41	2.2	0.24	9.1	0.83	0.001	5.12	0.17	0.03
1000	50	0	0	3.85	16.82	14.34	4.93	4.92	1.31	7.96	3.95	0.44	9.04	0.83	0.003	5.34	0.29	0.06
1000	100	0	0	3.66	16.73	14.26	4.9	4.89	1.3	7.91	3.92	0.42	9.36	0.83	0.003	5.49	0.3	0.05
1000	150	0	0	3.63	16.54	14.11	4.83	4.82	1.29	7.83	3.88	0.42	9.22	0.83	0.003	5.18	0.29	0.06
1000	200	0	0	3.7	16.26	13.88	4.74	4.73	1.26	7.71	3.82	0.44	8.68	0.83	0.003	5.12	0.29	0.06
1000	250	0	0	3.58	15.9	13.57	4.62	4.61	1.23	7.54	3.75	0.44	8.51	0.83	0.003	4.86	0.28	0.06
1000	300	0	0	3.51	15.37	13.12	4.45	4.44	1.18	7.29	3.63	0.41	8.82	0.83	0.003	4.93	0.27	0.06
1000	350	0	0	3.38	14.83	12.66	4.27	4.26	1.13	7.05	3.51	0.39	8.96	0.83	0.002	5.17	0.26	0.05
1000	400	0	0	3.28	14.25	12.17	4.08	4.07	1.08	6.8	3.38	0.38	8.82	0.83	0.002	4.98	0.25	0.05
1000	450	0	0	3.14	13.63	11.65	3.87	3.86	1.02	6.52	3.25	0.37	8.78	0.83	0.002	5	0.24	0.05
1000	500	0	0	2.97	12.98	11.1	3.66	3.65	0.96	6.23	3.1	0.36	8.64	0.83	0.002	4.92	0.23	0.05
1000	550	0	0	2.85	12.31	10.53	3.44	3.43	0.9	5.94	2.95	0.32	9.12	0.83	0.002	5.14	0.22	0.04
1000	600	0	0	2.62	11.69	10	3.23	3.22	0.85	5.66	2.81	0.31	9.04	0.83	0.002	4.89	0.21	0.04
1000	650	0	0	2.59	11.11	9.51	3.04	3.03	0.79	5.39	2.69	0.31	8.78	0.83	0.002	5	0.2	0.04
1000	700	0	0	2.27	10.51	9	2.84	2.83	0.74	5.13	2.55	0.27	9.5	0.83	0.002	5.24	0.19	0.04
1000	750	0	0	2.31	9.95	8.53	2.65	2.64	0.69	4.88	2.43	0.29	8.39	0.83	0.002	4.99	0.18	0.04
1000	800	0	0	2.19	9.33	8.01	2.44	2.44	0.63	4.59	2.3	0.28	8.23	0.83	0.002	4.79	0.18	0.04
1000	850	0	0	1.95	8.53	7.33	2.21	2.2	0.57	4.21	2.11	0.24	8.8	0.83	0.001	5.07	0.16	0.03
1050	50	0	0	3.63	15.75	13.45	4.52	4.51	1.2	7.51	3.74	0.46	8.08	0.83	0.003	4.88	0.28	0.06
1050	100	0	0	3.59	15.65	13.36	4.49	4.48	1.19	7.47	3.7	0.43	8.61	0.83	0.003	5.08	0.28	0.06
1050	150	0	0	3.54	15.4	13.16	4.41	4.4	1.16	7.34	3.66	0.43	8.61	0.83	0.003	4.93	0.27	0.06
1050	200	0	0	3.49	15.14	12.94	4.33	4.32	1.14	7.23	3.6	0.41	8.67	0.83	0.003	4.87	0.27	0.06
1050	250	0	0	3.47	14.81	12.66	4.22	4.21	1.11	7.08	3.52	0.42	8.45	0.83	0.002	4.82	0.27	0.06
1050	300	0	0	3.22	14.37	12.28	4.07	4.06	1.07	6.88	3.42	0.38	9.1	0.83	0.002	5.06	0.26	0.05
1050	350	0	0	3.14	13.91	11.89	3.92	3.91	1.03	6.68	3.32	0.39	8.59	0.83	0.002	4.94	0.25	0.05
1050	400	0	0	3.12	13.41	11.47	3.75	3.74	0.98	6.45	3.21	0.38	8.49	0.83	0.002	4.89	0.24	0.05
1050	450	0	0	2.99	12.84	10.99	3.57	3.56	0.94	6.19	3.08	0.35	8.69	0.83	0.002	5.04	0.23	0.05
1050	500	0	0	2.83	12.29	10.52	3.39	3.38	0.88	5.94	2.97	0.36	8.31	0.83	0.002	4.94	0.22	0.05
1050	550	0	0	2.66	11.65	9.98	3.18	3.17	0.83	5.67	2.81	0.32	8.8	0.83	0.002	5.12	0.21	0.04
1050	600	0	0	2.51	11.13	9.54	3.01	3	0.78	5.42	2.71	0.34	8.06	0.83	0.002	4.72	0.21	0.04
1050	650	0	0	2.4	10.48	8.99	2.8	2.79	0.73	5.14	2.55	0.29	8.82	0.83	0.002	5.07	0.19	0.04
1050	700	0	0	2.23	9.83	8.44	2.59	2.58	0.67	4.84	2.41	0.27	9.03	0.83	0.002	5.06	0.18	0.04
1050	750	0	0	2.08	9.16	7.86	2.38	2.37	0.61	4.53	2.26	0.25	8.96	0.83	0.002	5.17	0.17	0.03
1050	800	0	0	1.93	8.35	7.18	2.14	2.14	0.55	4.14	2.08	0.24	8.68	0.83	0.001	4.88	0.16	0.03
1050	850	0	0	1.81	7.91	6.8	2.02	2.01	0.52	3.92	1.97	0.23	8.67	0.83	0.001	4.94	0.15	0.03
1100	50	0	0	3.34	14.35	12.27	4.02	4.01	1.05	6.9	3.44	0.4	8.69	0.83	0.002	4.99	0.26	0.05
1100	100	0	0	3.32	14.28	12.21	4	3.99	1.05	6.87	3.42	0.4	8.61	0.83	0.002	4.89	0.26	0.05
1100	150	0	0	3.26	14.14	12.1	3.96	3.94	1.04	6.8	3.4	0.4	8.54	0.83	0.002	4.96	0.26	0.05
1100	200	0	0	3.17	13.89	11.88	3.87	3.86	1.02	6.69	3.33	0.37	8.97	0.83	0.002	5.28	0.25	0.05
1100	250	0	0	3.15	13.6	11.64	3.78	3.77	0.99	6.56	3.27	0.39	8.47	0.83	0.002	4.97	0.25	0.05
1100	300	0	0	3.03	13.21	11.31	3.66	3.65	0.96	6.38	3.18	0.36	8.75	0.83	0.002	5.09	0.24	0.05
1100	350	0	0	2.99	12.79	10.95	3.52	3.51	0.92	6.19	3.09	0.35	8.85	0.83	0.002	5.19	0.23	0.04
1100	400	0	0	2.79	12.31	10.54	3.36	3.36	0.88	5.98	2.97	0.33	8.88	0.83	0.002	5.06	0.22	0.04
1100	450	0	0	2.68	11.83	10.13	3.21	3.2	0.84	5.76	2.86	0.32	8.99	0.83	0.002	5.24	0.22	0.04
1100	500	0	0	2.51	11.31	9.69	3.04	3.03	0.79	5.53	2.75	0.29	9.33	0.83	0.002	5.45	0.21	0.04
1100	550	0	0	2.4	10.81	9.27	2.88	2.87	0.75	5.3	2.64	0.3	8.71	0.83	0.002	4.97	0.2	0.04
