X	Y	Azimut	Elevation	Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU élargi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	Elévation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
202	480	0	90	53.88	212.01	177.57	96.94	92.74	20.44	72.04	47.23	4.48	10.54	0.82	0.037	6.79	3.32	0.49
202	490	0	90	53.01	215.55	180.62	98.81	94.09	20.57	72.60	48.87	4.07	12.00	0.82	0.038	7.02	3.52	0.50
212	480	0	90	51.26	205.32	173.22	92.69	86.69	19.07	69.06	49.57	4.05	12.25	0.82	0.037	6.88	3.15	0.46
212	490	0	90	56.67	210.08	177.28	96.62	90.14	19.71	70.33	49.61	4.13	12.02	0.82	0.039	6.52	3.21	0.49
222	480	0	90	50.96	206.99	176.05	87.32	82.12	18.09	66.10	58.77	3.90	15.06	0.83	0.039	7.20	3.18	0.44
222	490	0	90	52.65	209.95	178.01	91.82	85.86	18.84	66.99	57.10	3.65	15.64	0.83	0.038	6.86	3.23	0.47
232	480	0	90	43.78	196.47	166.51	82.30	78.27	17.29	62.66	55.55	3.57	15.56	0.83	0.035	7.29	3.03	0.42
232	490	0	90	50.94	201.66	171.11	87.31	81.94	18.06	63.53	56.18	3.77	14.92	0.83	0.037	6.77	3.10	0.46
242	480	0	90	48.63	188.04	160.79	77.92	72.58	16.06	58.74	56.73	3.44	16.51	0.84	0.036	7.43	2.98	0.40
242	490	0	90	48.38	194.94	166.80	81.67	75.48	16.65	59.50	59.97	3.37	17.80	0.84	0.038	7.50	3.06	0.41
252	480	0	90	42.27	181.22	156.14	69.82	65.39	14.51	53.30	62.53	2.93	21.32	0.84	0.036	8.30	2.99	0.36
252	490	0	90	46.74	190.47	164.40	73.44	68.57	15.20	54.17	67.73	3.12	21.73	0.85	0.038	8.86	3.06	0.35
262	480	0	90	35.31	160.27	137.36	61.64	58.90	13.03	48.44	52.92	2.62	20.21	0.84	0.031	8.74	2.72	0.31
262	490	0	90	40.94	169.92	146.13	66.95	62.72	13.90	49.74	57.46	2.73	21.07	0.84	0.034	8.69	2.79	0.32
272	480	0	90	32.97	133.82	113.39	57.92	54.22	11.89	44.78	34.82	2.53	13.77	0.83	0.025	7.76	2.37	0.31
272	490	0	90	33.33	141.82	119.91	62.91	58.94	12.92	46.90	35.98	2.56	14.05	0.83	0.026	8.91	2.49	0.28
282	480	0	90	32.25	127.06	107.30	55.15	52.03	11.28	41.91	33.12	2.36	14.05	0.83	0.024	9.09	2.58	0.28
282	490	0	90	32.54	134.90	113.76	61.46	57.25	12.45	44.06	33.59	2.50	13.44	0.83	0.024	8.50	2.70	0.32
292	480	0	90	32.43	127.05	107.30	55.30	52.16	11.26	40.51	34.38	2.34	14.68	0.83	0.024	11.23	3.16	0.28
292	490	0	90	30.50	135.86	114.06	60.54	57.51	12.47	42.63	35.72	2.19	16.33	0.83	0.025	11.23	3.11	0.28
302	480	0	90	32.08	139.37	117.91	58.82	56.16	12.08	41.54	41.67	2.17	19.24	0.84	0.027	14.61	3.76	0.26
302	490	0	90	38.68	150.14	127.29	64.13	60.49	13.03	43.60	46.06	2.48	18.54	0.84	0.030	16.99	4.44	0.26
312	480	0	90	39.20	147.64	125.11	64.86	61.01	13.06	43.81	42.82	2.47	17.36	0.84	0.029	13.45	3.92	0.29
312	490	0	90	41.52	161.09	136.59	68.81	65.28	13.99	45.58	50.23	2.64	19.00	0.84	0.033	15.57	4.92	0.32
